VRIJEDI OD (VALID FROM) 15.03.2021.;;;
7 ZAPADNA OBALA -  SPINUT - ŽNJAN;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;;;
06:;10, 30;10;
07:;10, 45;10, 45;
08:;05, 35;35;N
09:;30;30;E
10:;15;15;
11:;00, 55;00, 55;P
12:;30;45;R
13:;05, 45;45;O
14:;10;10;M
15:;10,30;;E
16:;10;;T
17:;10;;U
18:;00, 35;;J
19:;40;;E
20:;10;;
21:;50;;
22:;;;
TRASA LINIJE: ZAPADNA OBALA - ZVONČAC - SPINUT - SEDAM KAŠTELA - PUT SUPAVLA - DUBROVAČKA - VELEBITSKA - BRAČKA - ŽNJAN;;;
