VRIJEDI OD (VALID FROM) 11.09.2020.;;;
2A K. SUĆURAC(STRINJE) - TR. LUKA - K. SUĆURAC(STRINJE);;;
sati;"RADNI DAN
Working day";"SUBOTA
Saturday";"NEDJELJA I PRAZNIK
Sunday & holiday"
hours;minute;;
05:;;;
06:;;;
07:;00;N;N
08:;;E;E
09:;00;;
10:;;P;P
11:;00;R;R
12:;55;O;O
13:;;M;M
14:;;E;E
15:;;T;T
16:;;U;U
17:;;J;J
18:;;E;E
19:;;;
20:;;;
21:;;;
22:;;;
"TRASA LINIJE: K. Sućurac (Strinje) - cesta Franje Tuđmana - Dujmovača - Dom. rata - tržnica - traj. luka - Bijankinijeva - Zvonimirova - tržnica - Dom. rata -
Dujmovača - cesta Franje Tuđmana - K. Sućurac (Strinje)";;;
;;;
